kr	sw
9.53798	156
9.56877	156.1
9.59956	156.2
9.63034	156.3
9.66113	156.4
9.69192	156.5
9.72271	156.6
9.7535	156.7
9.78428	156.8
9.81507	156.9
9.84586	157
9.87665	157.1
9.90744	157.2
9.93822	157.3
9.96901	157.4
9.9998	157.5
10.03059	157.6
10.06138	157.7
10.09216	157.8
10.12295	157.9
10.15374	158
10.18453	158.1
10.21532	158.2
10.2461	158.3
10.27689	158.4
10.30768	158.5
10.33847	158.6
10.36926	158.7
10.40004	158.8
10.43083	158.9
10.46162	159
10.49241	159.1
10.5232	159.2
10.55398	159.3
10.58477	159.4
10.61556	159.5
10.64635	159.6
10.67714	159.7
10.70792	159.8
10.73871	159.9
10.7695	160
10.80365	160.1
10.8378	160.2
10.87194	160.3
10.90609	160.4
10.94024	160.5
10.97439	160.6
11.00854	160.7
11.04268	160.8
11.07683	160.9
11.11098	161
11.14513	161.1
11.17928	161.2
11.21342	161.3
11.24757	161.4
11.28172	161.5
11.31587	161.6
11.35002	161.7
11.38416	161.8
11.41831	161.9
11.45246	162
11.48661	162.1
11.52076	162.2
11.5549	162.3
11.58905	162.4
11.6232	162.5
11.65735	162.6
11.6915	162.7
11.72564	162.8
11.75979	162.9
11.79394	163
11.82809	163.1
11.86224	163.2
11.89638	163.3
11.93053	163.4
11.96468	163.5
11.99883	163.6
12.03298	163.7
12.06712	163.8
12.10127	163.9
12.13542	164
12.16957	164.1
12.20372	164.2
12.23786	164.3
12.27201	164.4
12.30616	164.5
12.34031	164.6
12.37446	164.7
12.4086	164.8
12.44275	164.9
12.4769	165
12.51456	165.1
12.55222	165.2
12.58987	165.3
12.62753	165.4
12.66519	165.5
12.70285	165.6
12.74051	165.7
12.77816	165.8
12.81582	165.9
12.85348	166
12.89114	166.1
12.9288	166.2
12.96645	166.3
13.00411	166.4
13.04177	166.5
13.07943	166.6
13.11709	166.7
13.15474	166.8
13.1924	166.9
13.23006	167
13.26772	167.1
13.30538	167.2
13.34303	167.3
13.38069	167.4
13.41835	167.5
13.45601	167.6
13.49367	167.7
13.53132	167.8
13.56898	167.9
13.60664	168
13.6443	168.1
13.68196	168.2
